"occur_date","occur_time","Type","x","y","hour"
2014-12-31,"23:30:00","LARCENY-FROM VEHICLE",-84.40464,33.74341,23
2014-12-31,"4:00:00","BURGLARY-NONRES",-84.50726,33.76171,4
2014-12-31,"20:00:00","BURGLARY-RESIDENCE",-84.4178,33.73929,20
2014-12-31,"6:05:00","BURGLARY-NONRES",-84.39145,33.81096,6
2014-12-31,"23:00:00","AUTO THEFT",-84.49741,33.74716,23
2014-12-31,"6:00:00","BURGLARY-RESIDENCE",-84.37854,33.71829,6
2014-12-31,"20:30:00","BURGLARY-RESIDENCE",-84.51933,33.70309,20
2014-12-31,"20:00:00","LARCENY-FROM VEHICLE",-84.38152,33.85758,20
2014-12-31,"0:00:00","LARCENY-FROM VEHICLE",-84.29872,33.75072,0
2014-12-31,"8:20:00","LARCENY-FROM VEHICLE",-84.37279,33.78177,8
2014-12-31,"9:00:00","LARCENY-FROM VEHICLE",-84.47758,33.75284,9
2014-12-31,"6:00:00","AGG ASSAULT",-84.43963,33.75793,6
2014-12-31,"4:00:00","AGG ASSAULT",-84.40318,33.72931,4
2014-12-31,"22:00:00","LARCENY-FROM VEHICLE",-84.51952,33.69389,22
2014-12-31,"8:00:00","LARCENY-FROM VEHICLE",-84.4059,33.68116,8
2014-12-31,"2:00:00","LARCENY-FROM VEHICLE",-84.47115,33.72148,2
2014-12-29,"0:01:00","AUTO THEFT",-84.43382,33.72491,0
2014-12-30,"10:02:00","LARCENY-FROM VEHICLE",-84.43003,33.73453,10
